,Chandler Bing,Joey Tribbiani,Monica Geller,Phoebe Buffay,Rachel Green,Ross Geller
correct,-0.21043187085853868,-0.044399472907287456,-1.0467383415620082,-0.1974868628720675,-0.2697387397203825,1.7687952879202458
students,-0.39042266528603975,-0.04964783160518005,-0.4042419253919778,-0.4307205365848375,-0.4557584587877519,1.7307914176558288
threesome,-0.5338065298935337,0.19404289962734975,-0.5044619319371876,-0.4050188990466237,-0.3879023001192844,1.63714676136925
marcel,-1.1658780029780544,-0.09020720904014623,-0.29317083301122115,-0.29700137064253745,0.21304701978973048,1.633210395882203
crab,-0.3803826273275415,0.2534669219054112,-0.3188659309260773,-0.3788161383567082,-0.652394753242033,1.4769925279469216
rage,-0.3419301035267166,-0.200693365103001,-0.27589340741339896,-0.2956708480094966,-0.3365242724597135,1.450711996512349
lesabre,-0.30298264372561173,-0.182576461813662,-0.41613196110800715,-0.17153558756213544,-0.34484144124264005,1.418068095452067
hanukkah,0.4187226560989628,-0.31794363546005483,-0.605766467238794,-0.4351985316705406,-0.47683041942264853,1.4170163976930708
bike,0.18708487387325407,-0.9362510233856036,-0.32438049987413237,0.7450743990832757,-1.0849261515296584,1.4133984018328252
force,0.09067887152333418,-0.22483786973604547,-0.23701268769840478,-0.2816389520407045,-0.7568174184180755,1.409628056369892
plenty,-0.20034348092447102,-0.53419889373381,0.26463873369661073,-0.34641802225712803,-0.5577934462599696,1.3741151094787591
carol,-0.26680042972185997,-0.7420751858193566,-0.26683244894270713,-0.3462125843619143,0.25819555734698973,1.3637250914988792
paleontology,0.2405056456395766,-0.3402862714370971,-0.4664977210970552,-0.4235908342597005,-0.3589875961999014,1.3488567773541946
ben,-1.0152230476149773,-0.3374318496540354,-0.16768402107661906,0.09563466211435358,0.0791657636739239,1.3455384925573788
ruth,-0.46478708557273984,-0.4649940854529692,-0.517782656529004,-0.461956465444128,0.5795969044548898,1.3299233885439494
van,-0.8339260607585144,-0.5263105808268731,0.2507952988638652,0.11099943676776765,-0.3301195488976424,1.328561454851412
elizabeth,0.047566968853760466,-0.8459700171002207,0.12474286863262332,-0.279729168511742,-0.37385656834783565,1.3272459164733905
papers,0.09945812543065487,-0.31727922763070315,-0.13313614600155177,-0.3863656710497318,-0.5874959717376829,1.3248188909889842
necklace,0.09911238465446823,-0.18160233271949883,-0.5590946035502554,-0.2542713699137206,-0.42344593412254355,1.3193018556515685
muriel,-0.18263511436194768,-0.21108832871683114,-0.7552679414041505,-0.47483214586619504,0.3046194743091951,1.3192040560399276
mugged,-0.4851274038594893,-0.6498112159475508,0.02886693405108866,0.5502045312864379,-0.7550582352838912,1.3109253897534277
evening,-0.5339677444288621,-0.5047416297181013,-0.25263435711977283,-0.14892259722237386,0.13306707256112343,1.3071992559280028
tenure,-0.2979692084281773,-0.3315947926433957,-0.2968221643217254,-0.16952734158998492,-0.1889108874947901,1.284824394478059
ferry,-0.2868207319127724,-0.1507746419392148,-0.47397066024476214,-0.15472402812123034,-0.2107068260375648,1.2769968882555793
wha,-0.6172736385025267,-0.6270151759848853,-0.4710059642896331,0.07166372661893673,0.3686218062423377,1.2750092459157265
complete,-0.06128429223226687,0.11158193909170629,-0.638647759091938,-0.5078164569754827,-0.17180859560359074,1.267975164811562
dinosaurs,0.13142979380194322,-0.2905225353305027,-0.2578805145743799,-0.10944536742390486,-0.7241317418709109,1.2505503653977748
molly,-0.26451415975792725,0.29126164797755105,-0.5525308250115173,-0.3636860184171331,-0.3580822593544647,1.2475516145634757
pile,-0.35819001072623297,-0.31276789861521614,0.3266790261495387,-0.5075725523394394,-0.38743091111367056,1.239282346645027
platform,-0.4482843160545396,-0.3249953532910879,0.08980132880476961,-0.26910611859214817,-0.27611811581575163,1.2287025749487739
mona,-0.8582594072005226,-0.5793035565492535,-0.01511399458198562,-0.09149409226643346,0.3159049115836431,1.2282661390145335
diapers,-0.4409126736279463,-0.7767312081649007,-0.4815263163502196,-0.17435585540596918,0.6622027298675236,1.2113233236815826
failed,-0.3182647716239319,-0.40554594681016193,-0.37967778685964443,-0.4457975327734746,0.3393689679234217,1.2099170701437845
pages,-0.510356185343858,0.38351569487687415,-0.11579197938429744,-0.426841844714568,-0.5344668752414597,1.2039411898073187
hilarious,-0.3852951185253799,-0.3058743069962203,-0.08220772333328441,-0.2339168219150695,-0.19487833047958494,1.2021723012495438
williamsburg,-0.302133313214309,-0.2033419082357064,-0.3057461410123301,-0.19577227798369154,-0.19156429582715861,1.1985579362731893
spacecamp,-0.10633063709948809,-0.15394008922838345,-0.2837570930984045,-0.45878281521280706,-0.18718089454053133,1.1899915291796006
heavy,-0.5891560580532698,-0.405146752849555,-0.04382945344045595,-0.23245893163582354,0.08287946646646598,1.1877117295126132
thquirt,-0.295772685720082,-0.24312576079074102,-0.22883116213002413,-0.24478914064405985,-0.16878113760060043,1.181299886885512
zoo,-0.6276807892851027,0.4914766410225474,-0.18001601548874757,-0.45694896409801283,-0.4049891341743226,1.1781582620235966
mark,-0.7265636011305154,-0.4895246441381826,-0.24254559809172077,-0.7439568926808225,1.0256793458142957,1.176911390226979
seize,-0.16610430187619787,-0.3317724644366173,-0.3934941616365654,-0.18786138210431896,-0.09610638669363403,1.1753386967473467
sidecar,-0.2747563596798462,-0.22864356869896577,-0.2759843665479749,-0.2658201258975987,-0.12495568834569823,1.170160109170087
divorces,-0.5492833578618536,-0.31194960745821754,0.025459311396761844,0.32131601742142585,-0.6519567604564971,1.1664143969583802
cheryl,-0.2074907681231686,-0.1496559649427797,-0.2016964331797028,-0.2835965561863175,-0.32376105843040087,1.166200780862349
chancy,-0.15612243549353624,-0.17599080013706464,-0.31524848193699406,-0.2927127467207645,-0.22572143860997654,1.1657959028983074
cailin,-0.23764304695809232,-0.20787726744933946,-0.19041465261021262,-0.2977130053317569,-0.2257468823366936,1.1593948546861128
learning,-0.38387066037864126,-0.37317157040917126,0.38982405907042605,-0.4872080790668626,-0.30487964376389115,1.1593058945481498
mouse,-0.2765374706663523,-0.2352470685578204,-0.26794016531092446,-0.16379025815931933,-0.21222382612625357,1.1557387888206498
kiwi,-0.5676379799843015,-0.42414996593894033,0.28986655674469136,-0.18617935261895463,-0.26580346911820724,1.1539042109157356
